instance,accuracy
1,0.0
2,0.0
3,33.333333333333336
4,25.0
5,20.0
6,33.333333333333336
7,28.571428571428573
8,25.0
9,33.333333333333336
10,40.0
11,45.45454545454545
12,41.666666666666664
13,46.15384615384615
14,42.857142857142854
15,40.0
16,43.75
17,47.05882352941177
18,44.44444444444444
19,42.10526315789474
20,45.0
21,47.61904761904762
22,45.45454545454545
23,47.82608695652174
24,50.0
25,52.0
26,53.84615384615385
27,51.851851851851855
28,53.57142857142857
29,55.172413793103445
30,56.666666666666664
31,54.83870967741935
32,56.25
33,57.57575757575758
34,58.8235294117647
35,60.0
36,61.111111111111114
37,62.16216216216216
38,63.1578947368421
39,64.1025641025641
40,65.0
41,65.85365853658537
42,66.66666666666667
43,67.44186046511628
44,65.9090909090909
45,64.44444444444444
46,65.21739130434783
47,65.95744680851064
48,66.66666666666667
49,67.34693877551021
50,66.0
51,66.66666666666667
52,67.3076923076923
53,67.9245283018868
54,68.51851851851852
55,69.0909090909091
56,69.64285714285714
57,70.17543859649123
58,70.6896551724138
59,71.1864406779661
60,70.0
61,70.49180327868852
62,70.96774193548387
63,71.42857142857143
64,71.875
65,70.76923076923077
66,71.21212121212122
67,71.64179104477611
68,72.05882352941177
69,71.01449275362319
70,70.0
71,70.4225352112676
72,70.83333333333333
73,71.23287671232876
74,71.62162162162163
75,72.0
76,72.36842105263158
77,72.72727272727273
78,71.7948717948718
79,72.15189873417721
80,72.5
81,71.60493827160494
82,71.95121951219512
83,72.28915662650603
84,72.61904761904762
85,71.76470588235294
86,72.09302325581395
87,72.41379310344827
88,72.72727272727273
89,71.91011235955057
90,72.22222222222223
91,71.42857142857143
92,71.73913043478261
93,72.04301075268818
94,72.34042553191489
95,72.63157894736842
96,72.91666666666667
97,72.16494845360825
98,72.44897959183673
99,72.72727272727273
100,73.0
101,73.26732673267327
102,73.52941176470588
103,73.7864077669903
104,73.07692307692308
105,73.33333333333333
106,73.58490566037736
107,73.83177570093459
108,74.07407407407408
109,74.31192660550458
110,73.63636363636364
111,73.87387387387388
112,73.21428571428571
113,73.45132743362832
114,73.6842105263158
115,73.04347826086956
116,73.27586206896552
117,73.5042735042735
118,73.72881355932203
119,73.94957983193277
120,74.16666666666667
121,74.3801652892562
122,74.59016393442623
123,74.79674796747967
124,75.0
125,75.2
126,75.39682539682539
127,75.59055118110236
128,75.78125
129,75.96899224806202
130,75.38461538461539
131,74.80916030534351
132,75.0
133,75.18796992481202
134,75.3731343283582
135,75.55555555555556
136,75.0
137,75.18248175182482
138,75.3623188405797
139,75.53956834532374
140,75.71428571428571
141,75.88652482269504
142,76.05633802816901
143,76.22377622377623
144,76.38888888888889
145,76.55172413793103
146,76.71232876712328
147,76.87074829931973
148,77.02702702702703
149,77.18120805369128
150,76.66666666666667
151,76.82119205298014
152,76.97368421052632
153,77.12418300653594
154,77.27272727272727
155,76.7741935483871
156,76.28205128205128
157,76.43312101910828
158,76.58227848101266
